Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,81829.16,137462.28,1358374.22,ND,ND,496651.14,ND,556139.01,1898433,ND,560400.26
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,266580.64,145128.76,184368.58,261477.42,303482.35,419881,222524.41,10004989.05,1098880.24,4181716.51,22813089.96,1549533.41
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,1621548.6,4418932.4,1860061.37,2012302.68,529847.62,331181.64,1793783.34,17501811.16,4323331.53,3056452.56,ND,6819205.03
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,189871.82,183908.08,224953.98,312882.55,381314.87,517355.48,200546.5,13930222.19,1096584.97,2676733.7,42754054.11,1557375.78
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,78714.46,91460.2,89350.78,109481.44,158373.56,228846.96,90702.08,5754632.73,534207.5,1717390.55,17431249.33,939835.54
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,290974300.38,26154488,ND,ND,261549876.78
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,114079.83,150144.83,171742.66,230660.94,314801.36,349892.73,147597.55,2562366.86,484465.62,1626917.91,1320229.38,651070.6
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,74468.11,87034.68,89577.99,97694.36,102516.43,226004,82266.08,828744.19,298740.17,1006850.37,3143654.74,435381.01
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,93584.33,98434.54,97973.05,104378.65,100298.1,120275.21,98964.61,2313736.9,371525.29,605333.54,1033830.66,463082.13
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,89314.07,92392.42,95271.18,109124.04,127617.17,251500.35,97275.15,3487997.01,474314.27,2200216.98,111008529.25,775616.54
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,76138.12,86436.71,100344.83,106286.96,132926.1,156566.66,87376.05,1550730.51,303977.1,645165.84,16367778.95,456106.36
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,157910167,ND,157910167
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,11909200,ND,3097002.79,ND,3141378.92
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,245492,ND,ND,ND,245492
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,91925.17,109378.51,126645.57,195779.28,ND,ND,100057.2,5192370.83,576572.32,2587956.88,49299771.31,848156.3
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,103842.02,107877.08,120159.48,149461.88,174249.85,230656.08,113208.42,6445464.06,367696.31,2354765.84,1573561.41,586201.57
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,104408.64,109563.61,113022.57,133441.24,156141.92,186804.67,115289.51,970103.85,444687.5,1641887.98,6842132.41,578325.94
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,71089.64,140297.2,144779.38,247090.03,ND,ND,98619.4,4231680.39,288728.63,2919532.05,800263.89,559305.47
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,79658.19,84047.59,83544.38,78666.53,88618.88,152515.92,83231.41,2515863.81,285428.95,774358.28,2159343.79,457578.27
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,95682.22,109260.2,123354.95,146920.96,274248.75,ND,108276.5,4615674.11,438266.66,1741304.73,4135465.97,664050.07
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,70987.8,85154.66,106332.26,86230.53,ND,ND,80027.1,194123.79,274601.82,1850498.4,2991236.6,424529.66
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,79696.76,87331.69,90914.37,95885.24,101683.11,143729.34,89046.67,1226259.03,369112.3,946290.46,2549919.51,496147.97
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,110541.75,132098.38,158295.45,226736.64,ND,ND,123176.86,2135704.67,380613.5,2104700.16,131795.33,575567.01
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,73344.34,88976.63,119497.06,ND,ND,ND,75654.4,293750.06,393765.98,1612175.13,1670562.51,588673.79
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,33053.51,58781.44,154254.12,89914.99,ND,ND,65909.77,9889933.42,3039112.61,484878.17,ND,3942294.73
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,115873.3,111027.84,107695.61,105629.44,137030.22,234638.25,116394.86,6560228.52,833235.8,8434045.08,948746598.38,1355619.96
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,96732.86,106091.28,114645.02,132575.55,154919.74,226833.75,114392.09,8192809.55,715348.92,2911769.5,8663727.14,1462366.27
ENEL COLOMBIA S.A. E.S.P.,factura promedio,94652.93,108010.85,100740.31,103477.71,138376.12,193588.19,107103.45,2617145.65,548554.94,3208920.64,101468483.3,892886.15
Enel X Colombia S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERBIT S.A.S E.S.P.,factura promedio,45307.28,50291.85,68974.69,70534.72,193417.33,470192.06,105559.31,5018107.02,2191163.02,ND,ND,2414121.4
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,68077.42,232655.84,205793.27,114521.95,137508.77,285798.66,154858.3,7357136.5,2199926.89,7206928.56,ND,3379876.63
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1070435787,ND,ND,ND,1070435787
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,18208541,ND,ND,ND,18208541,65304083.46,64198718.17,15728328,ND,63698142.11
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,253066199.2,ND,ND,ND,253066199.2
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,32045453,ND,ND,ND,ND,32045453,33331959,33660549.67,33277004,ND,33611645.46
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,341246334.68,323716108.65,ND,ND,339071051.16
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,252633215,84893090.67,639021189,ND,244844388.4
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1799860181,20278138,ND,ND,910069159.5
NEU ENERGY SAS ESP,factura promedio,5993973,5614604.5,9312485.85,7874800.47,2173251,1448099.67,4563169.17,14290752.69,7101543.08,9992046.37,ND,9075570.23
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,240120,302160.25,534867.02,33905.5,396888,470897.36,7134350.75,2543823.59,20936825.29,56006998,3422653.01
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,12701.97,1805159,130612.43,159281.17,227694.21,155367.52,59545370.76,7498189.36,60909629.86,ND,14407069.11
SOL & CIELO ENERGIA SAS ESP,factura promedio,2456670.33,1008108.57,424873.5,468133,203886.09,429887.05,594294.04,10858266.93,2222610.97,1526309.03,ND,2244785.74
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,25035124.56,ND,ND,25035124.56
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,11332289.15,19573235.2,ND,ND,ND,13621440.83,17562183.36,11394139,25339330.11,ND,12366160.63
VATIA S.A.S. E.S.P.,factura promedio,1983907.3,78973.94,148462.69,171784.18,214106.08,385542.47,212796.91,9958715.1,3773084.42,10008721.98,4076287.62,4562598.44
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Noviembre
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
