Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,76764,209403.96,626988.99,ND,ND,309025.75,ND,486704.5,1527583.5,ND,490008.88
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,346021602.89,19634910,ND,ND,314937155.95
AIR-E S.A.S. E.S.P.,factura promedio,273094.53,152935.38,193541.68,268045.66,322076.02,486683.04,231308.62,11143177.89,1167637.99,2785430.53,27598185.56,1612929.2
BIA ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,45756.98,ND,ND,ND,10780.19
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,200250.84,193222.78,230974.62,334717.48,410671.05,632129.03,212377.12,15403009.78,1124468.66,2500903.84,46239325.15,1625960.6
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,87115.06,102815.17,104082.69,124110.87,186131.68,276827.67,102599.7,6348454.11,585102.08,1540311.27,19129368.62,993030.72
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,435973856.5,355788477.67,ND,ND,387862629.2
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,119172.97,149709.3,166513.51,228401.33,323928.35,378426.1,147081.18,2345247.16,506832.35,1207835.2,1564529.97,644522.42
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,72510.58,83073.66,84898.59,92467.31,99346.72,235938.86,79172.92,840377.43,275587.51,1016942.29,4083038.1,411578.13
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,94110.56,99081,98218.54,103909.22,96422.06,115107.8,99038.32,2428920.26,378646.62,512335.2,1895458.27,484195.86
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,187255086.8,24835989.75,306901520,ND,134252091.3
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,99280.94,105727.01,106890.76,119081.73,137568.71,341244.86,109483.18,3575122.81,523545.33,2227552.1,96532963.25,811289.38
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,123500932,ND,123500932
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,949196,ND,2419267.18,ND,2368575.07
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
