Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,35848.19,58553.19,151666.39,ND,ND,82171.83,ND,902973.41,23140717,ND,973569.42
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,254817.44,145470.63,172724.79,226434.66,289948.03,440065.43,213611.77,10000600.65,1029350.93,2977889.65,21266234.95,1426165.18
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,965160.6,4771084.67,1883874.39,1343230.56,615757.21,371230.94,1838964.25,14913717.33,4413246.24,3409466.42,6471785,6395042.2
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,189116.53,181587.14,217828.8,309255.36,373976.04,579069.13,199220.93,13140421.93,993867.33,2315694.4,45149065.56,1425369.46
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,75928.1,87323.5,86503.39,104734.94,164441.48,243183.67,87291.9,5360715.46,498466.36,1437972.59,11087402.91,848468.72
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,250621476.62,25079240,ND,ND,225561228.11
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,103416.66,136614.57,143602.08,192491.76,259133.96,303082.11,130730.01,2077625.25,417093.27,1020803.55,1247132.1,538077.46
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,77648.24,88666.11,91564.07,100102.03,107463.23,224239.12,84765.96,795185.31,310513.87,974311.81,2835802.15,431167.79
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,93741.92,98936.11,97436.29,100895.88,96713.98,115458.7,98368.2,2189819.38,362938.46,513663.45,840998.49,443324.19
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,81845.78,87717.96,89216.41,99870.24,115642.27,252157.22,91144.49,3403104.46,418968.26,1831673.86,108398019.75,708045.73
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,76976.41,88173.28,96480.17,101687.65,117007.07,155584.03,86988.85,1557996.29,301856.21,700860.62,15427080.28,454204.36
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,143112596,ND,143112596
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,459,ND,ND,ND,459
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,101807.6,126848.71,141509.53,216445.56,307767.53,293242.63,125635.93,2371280.56,538214.4,1495387.97,1663005.26,682224.96
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,101059.9,105644.26,116834.08,145865.89,172490.87,238318.8,110477.09,6044638.75,348489.02,2064852.6,1242687.76,547654.29
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,100577.3,105085.04,106331.9,122579.96,142617.9,170494.52,108995.65,792365.45,396167.35,1235336.31,6619833,507755.92
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,81022.58,85524.89,80758,70807.4,81616.88,152209.19,82621.1,1935496.24,282748.98,703824.83,2258707.88,434549.59
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,94420.29,107531.35,120290.57,151332.74,299853.42,ND,106715.93,4695758.19,434853,1592009.03,3796569.67,643358.7
