Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,57202.92,68562,75695.23,ND,ND,68404.42,ND,501249.82,797823,ND,502191.32
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,380581894.53,509683599.5,ND,ND,392877295
AIR-E S.A.S. E.S.P.,factura promedio,292425.63,162331.94,196232.51,264667.69,299443.76,393789.53,239873.47,10938246.66,1097240.02,4494813.72,26982018.66,1621287.66
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,ND,4703155.27,1785490.18,1006267.58,868050.88,281553.16,1532120.54,17684277.64,3957127.72,3208510.38,ND,6891765.05
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,195199.79,187381.58,230468.88,327393.45,401859.89,538651.37,206454.35,15969367.72,1194086.14,2850277.44,43119022.75,1702452.92
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,82478.95,94703.04,95022.64,114667.42,158148.74,227947.96,94616.17,6208818.72,559475.43,1814971.13,20492979.97,985429.31
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,581758898.6,27565932,ND,ND,489393404.17
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,121801.08,159977.72,175726.79,237246.88,338025.94,371523.01,154173.84,3313155.46,549430.15,1726584.88,1643465.71,747367.12
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,65957.8,77522.17,83186.66,92043.42,95492.8,181766.1,73977.82,816383.17,269354.75,947291.64,3874573.88,399996.04
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,85201.61,89828.67,89224.81,95407.38,91015.99,104546.89,90042.07,2230432.4,335743.12,576897.73,1093509.64,420788.94
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,220219706,22590841,313084997,ND,150454689.1
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,93573.14,97722.18,99728.71,113765.62,129899.34,278256.87,102014.38,3516059.59,534334.72,2224370.95,99730823.5,821346.67
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,72888.27,84553.68,95240.5,98849.08,107669.35,147816.21,83606.33,1427641.63,280347.7,828558.95,16244395.84,445114.57
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,147564362,ND,147564362
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,4450746,ND,2918578.95,ND,2945459.07
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,85278.39,101326.49,112443.59,176742.73,ND,ND,92397.39,4600982.54,520372.3,2355938.98,48026090.59,796864.69
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,87259.59,110331.27,122566.05,188485.99,253089.46,233778.25,108571.69,2729804.78,494566.84,1424944.8,1741171.9,659900.55
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,105866.84,109980.43,123196.4,152617.96,190467.64,247702.4,116002.39,6697661.27,370534.02,2440193.85,1695500.61,593094.93
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,113757.41,119479.98,122341.13,147410.24,170193.67,195769.11,125667.82,1163208.52,476976.87,1771155.65,9688444.2,638270.42
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,58074.86,117896.43,126265.45,220967.91,ND,ND,82725.53,3098434.32,249901.92,2680429.66,825775.14,510528.92
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,76009.92,81198.01,80964.92,77945.7,85017.65,162539.42,80442.64,2517470.38,283376.93,793167.17,2552119.53,464793.59
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,91465.76,105869.79,125542.67,160630.48,303959.58,ND,106221.73,4787574.25,438668.13,1743004.91,3783573.99,668620.63
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,106296.22,135031.23,171067.09,ND,ND,ND,117048.11,1289797.6,344745.55,1240625.4,7550985.16,467279.51
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,75873.29,95543.77,92912.01,ND,ND,ND,80774.54,169053.45,289021.75,1164561.12,2872407.95,389189.04
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,81125.26,87682.63,91465.37,97104.31,102897.48,149070.74,89879.05,1361220.01,377763.81,1016849.64,2544228.87,510392.37
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,84436.72,90548.15,95794.97,97476.96,109207.21,153804.02,97223.41,4285755.79,525443.17,2190234.85,4724822.98,865854.26
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,120493.29,145136,182328.63,211144.18,ND,ND,135405.26,2559097.29,446687.59,2268865.74,27589.8,657172.14
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,91760.55,113242.09,137794.3,ND,ND,ND,94473.57,359597.53,503788.38,2198701.5,2044120.11,764983.02
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,12468.9,36315.52,134551.19,74993.98,ND,ND,45351.74,10534640.56,2268272.02,516132.65,ND,3808642.46
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,129792.99,122872.39,117362.27,118127.11,155905.16,268055.86,129349.35,6235008.88,880277.63,9386090.98,912673207.25,1422817.99
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,97563.49,105466.95,114505.92,132974.24,153542.69,223170.28,114174.54,7798134,688097.13,2671753.58,5809790.36,1393871.52
ENEL COLOMBIA S.A. E.S.P.,factura promedio,94336.74,106495.55,98490.22,108129.58,136738.55,194039.81,106335.28,2590901.7,543245.19,3106477.8,95402769.67,877315.33
Enel X Colombia S.A.S. ESP,factura promedio,ND,6248478.67,ND,ND,ND,ND,6248478.67,32666838.53,12107049.84,20221607.5,ND,16733911.84
ENERBIT S.A.S E.S.P.,factura promedio,15033.64,55979.37,58557.75,63743.22,156706.51,264596.54,101407.83,5342093.09,1716535.82,2886436.4,ND,1988463.9
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,75304.01,203519.76,205291.49,103885.78,120270.34,245090.55,143120.71,6588351.73,2037862.56,7808450.07,ND,3100232.81
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,939800840,ND,ND,ND,939800840
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,13384570.5,ND,ND,ND,13384570.5,53570489.46,51541939.43,12246061,ND,52028148.39
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,239110517.4,ND,ND,ND,239110517.4
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,39446451,ND,ND,ND,ND,39446451,883433734.68,766940428,537281136.5,ND,822320858.58
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,35714550,ND,ND,ND,ND,35714550,30696707,32302276.58,30488652,ND,32065478.96
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,368491682.55,317208617,ND,ND,362219652.95
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,238680257.1,78929273.33,580340536,ND,228852209.07
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1610347908,19522207,ND,ND,814935057.5
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,581950,ND,ND,ND,581950
QI ENERGY SAS ESP,factura promedio,ND,221879,18254.71,632174.95,166151,497391.67,524243.96,7610379.86,2569426.65,23836429.09,49173642.5,3415423.08
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
