Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,35002.58,60558.42,78360.41,ND,ND,60736.1,ND,660746.98,1618124,ND,663786.27
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,243851.56,134334.07,166720.36,235865.06,271181.41,376968.36,203169.3,11108710.45,1011909.04,3357416.04,19777722.03,1450886.9
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,1621140.6,4455231.26,1899384.32,1858795.68,552707.88,372295.91,1818196.44,16227241,4246196.65,2995274.26,200438,6523089.23
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,190466.47,181888.71,224603.78,314187.78,370644.29,548006.76,200533.94,13081185.29,1070762.95,2560884.09,40577910.23,1500145.47
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,75559.82,87856.76,85272.16,104197.91,148977.7,213843.23,86852.43,5638586.29,461982.58,1503445.66,18425068.87,872520.93
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,301067343.38,25118086,ND,ND,270406314.78
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,105481.24,135797.58,153964.6,202593.17,273689.62,316819.42,133614.11,2564043.79,449200.28,1382144.38,951548.41,591539.16
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,72810.14,85481.74,90540.8,98842.88,103154.5,216327.74,81212.19,800742.83,302428.78,1024825.94,2975204.78,429347.27
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,87967.66,91932.08,91544.66,96228.55,95664.41,109968,92360.1,2268205.46,391653.57,601283.67,956073.41,478446.88
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,83517.56,87950.98,91412.4,104704.64,122569.9,258737.67,92977.03,3461256.3,447637.86,2081392.36,106033935.5,742067.41
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,73049.36,83949.4,96961.15,99343.42,115876.83,153578.08,83811.07,1513138.72,292806.08,699456.76,15770221.52,447161.39
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,159091609,ND,159091609
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,11807551,ND,2884429.77,ND,2937891.83
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,88898.97,106471.3,125669.18,206489.6,ND,ND,97398.8,4815697.96,563368.74,2482896.03,47281511.94,822662.48
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,98780.35,123339.24,138173.35,208588.76,279324.56,265269.61,121885.95,2835048.86,553814.26,1621472.52,1673133.59,711772.9
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,105284.55,109887.5,122367.83,153358.26,184932.22,246180.55,115334.35,6362123.15,380726.23,2465202.86,1483007.61,600527.51
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,104080.59,107319.29,109894.75,128838.52,144981.98,174107.37,112527.31,958662.82,430752.64,1540442.16,6548228.61,561516.13
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,61257.31,121961.06,126561.5,215134.82,ND,ND,85421.28,3604470.53,254538.67,2664265.86,778591.73,503638.13
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,72539.06,77042.56,75547.59,69456.77,80881.51,150774.39,75768.43,2373135.21,267349.52,716383.57,2236637.1,438067.23
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,93337.81,107631.1,122153.67,151020.72,270619.58,ND,106679.95,4655601.64,443965.52,1804156.69,3878966.74,667175.97
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,116066.5,145724.71,181628,ND,ND,ND,127087.47,972442.96,384619.86,1210465.05,8780969.58,488979.56
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,71524.87,106171.66,94820.63,88403.45,ND,ND,84687.14,177020.82,333560.05,1842668.95,2868269.61,474015.82
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,82414.96,90963.03,95122.59,102934.01,109916.08,160554.5,93437.96,1200762.1,382308.4,891829.08,2503456.25,508358.96
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,113358.9,133903.77,164580.45,230950.91,ND,ND,125856.43,2131929.33,394884.67,2150580.16,182963.5,592459.18
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
