Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,51799.67,67090.05,71271.71,ND,ND,65232.78,ND,741119.18,1716546,ND,744215.77
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,525858619.79,515028579,ND,ND,524827187.33
AIR-E S.A.S. E.S.P.,factura promedio,304269.76,173301.43,210157.24,269326.68,326956.89,478695.12,253581.42,11832980.18,1263412.11,4655700.48,24573318.29,1799609.45
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,ND,4250043.59,1833111.14,1183828.8,812219.32,293671.15,1597150.33,19056700.18,4446239.46,3779061.84,ND,7635377.83
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,93483.35,108400.96,108483.12,129760.16,184050.48,246639.07,107968.47,6507517.93,628389.86,1955342.47,22491257.66,1080860.32
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,341739446.62,31130603,ND,ND,307227352.89
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,124717.66,147844.15,178092.63,239758.28,340220.63,379548.31,151350.24,2927075.95,553704.62,1685323.85,1628318.78,736640.63
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,77201.71,88651.81,93566.34,104262.13,110169.64,217830.38,85150.69,896272.49,312050.06,1117565.34,4545581.83,459650.76
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,90519.91,94789.62,94381.54,100330.73,93125.98,113442.86,95189.91,2401898.96,354625.32,604234.06,1261929.03,448600.27
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,252775906,25283386,ND,ND,161778898
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,103890.32,110617.36,111438.28,130965.54,153953.57,342100.45,115546.94,3773163,621858.84,2462248.12,109489143,930237
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,82579.33,92472.51,102699.99,102685.93,124471.06,163761.92,91986.26,1516872.59,327606.39,1032985.66,17960336.35,513907.16
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,164610274,ND,164610274
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,4878073,ND,3136375.12,ND,3166931.23
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,86288.45,101758.71,114758.84,177903.1,ND,ND,93414.2,5020279.93,501774.84,2176495.55,45901969,769555.06
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,86855.86,108749.18,121863.78,183169.15,246693.25,231229.92,107304.73,2793423.49,486030.29,1319534.97,1562883.55,635503.27
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,102626.83,105376.44,117987.04,146390.39,173443.65,229401.19,111328.47,6938305.68,355228.01,2353467.33,1641009.77,582289.51
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,118708.6,124693.38,128529.82,153089.72,178652.25,210567.82,131383,1240181.34,496237.83,1981168.37,8956262.84,664518.21
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,66089.37,131722.93,138829.95,245796.51,ND,ND,92931.72,4129025.11,280824.52,2951070.43,811585.4,563931.68
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,86927.59,93392.24,91491.41,86762.19,98746.29,194500.1,91849.99,2722345.57,313567.12,880289.08,2503544.21,508572.71
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,106237.19,123847.74,142517.99,177409.22,435095.75,ND,122867.4,5134974.97,480116.35,2060447.82,4316764.63,742559.26
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,123452.83,153371.2,186920.68,ND,ND,ND,134537.83,1349021.51,392803.95,1470482.53,8339942.5,524804.15
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,74911.58,99220.47,92419.44,ND,ND,ND,80826.85,174526.33,281709.24,1095120.65,2691511.03,375487.13
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,85473.8,91163.42,97112.02,104243.39,113049.74,162967.06,95097.65,1313328.23,391387.17,1026808.25,2854163.23,529680.06
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,85052.11,90185.99,96348.34,98236.52,111043.49,155023.04,97713.07,4389437.99,537571.72,2247326.6,5410498.55,901480.23
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,113709.19,137830.14,166077.96,211650.18,ND,ND,127728.19,2660146.67,403141.72,2453783.99,315989.8,640224.38
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,100689.94,130535.98,162766.4,ND,ND,ND,104393.56,393530.79,578112.71,2298058.15,2053263.39,838275.68
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,12745.9,37816.91,156617.62,101294.98,ND,ND,54721.1,10409136.2,3591269.15,562461.65,ND,4515893.95
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,118277.13,119897.25,119163.59,119867.33,153014.21,267847.11,127036.01,6726455.49,885657.99,9238364.38,833407607.5,1460496
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,96071.28,105392.28,114850.86,130067.73,153528.99,224677.41,113716.64,8496219.56,712916.59,2899687.06,9724370.38,1489799.69
ENEL COLOMBIA S.A. E.S.P.,factura promedio,97274.98,107936.72,103024.3,102959.12,142609.54,203642.88,108510.41,2654035.16,560640.57,3372969.25,105752792.66,911533.73
Enel X Colombia S.A.S. ESP,factura promedio,ND,7390828,ND,ND,ND,ND,7390828,37559360.79,14334447.92,21642034,ND,19723003.48
ENERBIT S.A.S E.S.P.,factura promedio,24373.18,62119.61,57470.57,62232.07,180480.16,422889.13,108172.27,4813178.83,2096250.02,ND,ND,2307958.76
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,81560.53,221894.63,214667.64,118232.07,126535.2,282117.48,156210.4,8214947.27,2314961.56,10374998.49,ND,3733885.02
