Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,54191.75,67714.94,82593.18,ND,ND,69465.57,ND,543811.55,1972488,ND,548347.03
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,253388.23,141756.73,165348.64,229207.19,270947.12,371549.74,208666.05,8703010.01,976111.55,4042496.65,21390296.98,1384693.66
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,1371306.2,3996410.57,1453784.74,1626004.11,427735.69,316479.33,1555721.72,14295492.61,3916164.08,3085470.91,5404833,5873592.27
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,72836.25,84254.11,83054.16,102957.96,143806.81,211285.71,83925.17,9250915.8,564662.89,1788996.36,15630004.47,1151527.33
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,270039120.38,23191853,ND,ND,242611646.22
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,101706.4,129737.72,143285.34,185804.34,255115.51,280626.84,126783.45,2195832.55,423318.38,1500659.08,1226988.71,574502.19
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,83706.54,87515.37,87238.17,91645.75,90612.64,105821.81,87984.77,2138981.34,323947.7,567806,786246.26,409182.38
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,76352.68,79254.6,81360.5,94712.19,110819.18,243629.04,83520.74,5298199.98,404031.67,2060257.1,123478845.4,840522.63
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,68488.37,79684.01,92469.26,96066.54,108045.31,144293.09,79349.76,3368226.54,309414.36,781633.84,14676330.05,550259.46
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,140530596,ND,140530596
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,93400.05,111410.47,131677.07,208737.37,ND,ND,102045.17,3979126.52,580709.94,2764406.41,51581059.06,856774.19
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,95728.52,121374.07,137628.28,212898.1,295913.81,283695.24,120195.72,2528767.66,501967.03,1619545.01,1502378.92,652496.39
