Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,42599.42,70434.4,72582.08,ND,ND,65394.75,ND,508493.73,1714195.5,ND,512321.36
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,408239626.95,528932601,ND,ND,419734195.9
AIR-E S.A.S. E.S.P.,factura promedio,312764.5,175912.89,214607.15,300712.89,349488.17,493408.57,261756.82,13322517.64,1296940.37,4862914.96,29751576.94,1896101.87
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,498021.4,4491743.57,1910082.57,1422018.45,713090.92,297225.23,1714731.09,20641256.34,4842772.17,3541368.53,ND,8270538.93
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,79694.87,92946.63,90578.2,110264.33,156858.47,209430.31,91870.05,6202258.31,540086.08,1559334.09,17937865.32,952650.11
CELSIA S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,341973182.25,29380275,ND,ND,307240637
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,114093.62,146422.45,163333.13,220265.87,306267.17,345178.66,143364.27,2756733.64,496579.92,1613060.36,1522924.95,673745.66
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,75550.7,86839.21,93522.97,100069.2,103376.07,211068.95,83483.33,938007.6,301504.22,1070935,3765628.98,450285.44
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,94274.08,99224.29,98774.35,104396.38,98304.81,117615.9,99486.05,2468699.9,371101.58,629248.38,1206571.52,467840.48
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,245822670.4,16359106.5,402539184,ND,169708896.2
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,83574.79,89682.07,89916.85,102867.99,117153.2,265487.54,92698.8,3649428.54,478298.65,2157393.04,108329910.25,782703.1
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,83344.17,102272.77,106445.85,107359.01,121987.96,156913.18,96579.19,1415726.79,335548.66,866103.19,17943407.93,499551.44
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,145779438,ND,145779438
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,10279361,ND,3119660.32,ND,3245269.11
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,76492.62,90704.36,102410.89,151915.32,ND,ND,82880.35,4783997.44,464043.54,1966721.18,44244992.12,711946.43
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,90298.06,112844.4,125667.95,183066.45,248142.09,239814.8,110992.79,3363958.96,510701.32,1438343.89,1583143.84,673811.37
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,90408.54,92212.9,102132.39,127880.84,154120.34,200991.16,97249.28,6548163.59,321608.18,2088574.76,1498650.5,524267.89
