Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,57287.83,68496.71,76659.11,ND,ND,68682.2,ND,516787.51,1847360.5,ND,521011.56
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,427966704.53,510120655,ND,ND,435790890.29
AIR-E S.A.S. E.S.P.,factura promedio,307043.85,173459.05,212717.72,288619.46,339515.59,463231.31,256415.16,11146763.91,1249717.64,4757703.42,20897271.75,1760125
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,21751,3967577.29,1773095.24,1356245,633564.16,272848.89,1536627.95,17807069.9,4342701.92,2392904.08,ND,7128908.05
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,204668.16,201386.4,251536.71,351299.21,419146.78,612187.97,218810.78,18936778.46,1226728.99,2841950.34,45527969.28,1801876.6
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,82873.4,95259.25,94563.24,113804.31,165991.98,230532.7,94964.08,6144657.48,565697.5,1777069.77,18321795.62,984155.51
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,292177996.25,30835665,ND,ND,263139959.44
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,118576.23,153376.12,172200.54,230288.25,320568.08,359886.4,150000.3,2891425.81,518421.98,1613726.72,1470268.99,695239.02
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,80662.2,92428.14,95065.01,103490.35,109206.41,218556.43,88121.75,910560.79,315982.59,1131011.65,4096246.96,458292.46
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,93917.75,98890.8,98907.37,105494.05,99467.26,120705.55,99611.69,2452220.79,364571.45,592060.95,1279011.17,459548.82
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,210910641.6,23464433.25,366305461,ND,151471640.2
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,97070.49,105287.2,104854.9,118410.76,134794.83,291902.83,108130.27,3442465.91,542070.43,2282166.03,106356823.25,833163.33
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,80261.29,88582.16,69335.7,111894.68,128212.93,176934.1,85614.2,1488145.39,321128.8,835607.55,6396308.9,448160.4
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,119755438,ND,119755438
