Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,48713.84,58498.51,64971.69,ND,ND,58462.52,ND,462300.84,1701961.5,ND,466236.27
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,496271004.89,495146445.5,ND,ND,496163904
AIR-E S.A.S. E.S.P.,factura promedio,265283.09,137821.08,174559.78,233064.79,275782.16,363844.14,214069.58,10836256,1169920.27,3791021.35,25848889.97,1647736.81
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,ND,5312701.2,1912457.8,1400746.19,1006371.79,286315.97,1733240.16,18372918.17,4428954.33,4281647.86,ND,7651523.41
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,88580.96,102729.39,102303.07,124722.16,179905.89,244191.77,102407.33,6705231.68,599019.54,1781617.44,21217954.91,1045456.81
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,341173792.6,27328118,ND,ND,288866180.17
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,117635.04,148624.64,167101.87,221760.72,310522.15,352906.14,145639.26,2924528.2,518817.17,1523675.29,1490366.45,689985.05
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,73210.43,84465.63,87708.56,95034.81,99401.45,211625.43,80444.94,766599.24,277628.74,987914.69,3964401.53,406649.3
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,94179.78,99602.29,98926.6,104935.01,95085.51,117439.34,99641.61,2450137.44,378758.19,537579.73,1170667.81,463412.85
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,181662227.4,25369208.25,364156511,ND,137394448.1
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,101950.85,108298.36,109790.88,122618.23,143360.51,335456.76,112457.29,3629768.55,550707.08,2146603.28,109209469.75,847074.73
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,70588.79,85406.39,96101.11,102648.34,119316.28,162983.93,83817.49,1514947.12,343042.39,806407.51,113570.91,445846.39
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,138206114,ND,138206114
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,12166070,ND,2411409.25,ND,2582543.65
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,91451.3,109070.42,125568.46,196422.73,ND,ND,99660.6,4225986.39,557412.46,2584017.97,50468858.56,839206.65
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,96551.61,122634.17,137790.79,218363.9,306627.68,271479.98,121323.77,2938563.34,512597.55,1243899.98,1230119.9,641475.72
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,103245.85,106006.08,117815.91,148310.17,182774.72,240879.46,111939.15,6585349.7,358792.29,2176916.73,1621546.08,565957.94
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,109406.95,115014.77,116013.25,137683.97,162815.92,192603.64,119887.38,1071378.63,454192.75,1456613.81,8870490.71,594235.85
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,67285.7,129997.18,136160.96,234367.07,ND,ND,92952.14,3478016.05,277464.39,2610341.63,844230.17,532357.5
