Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,48302.3,55764.3,70061.23,ND,ND,58577.85,ND,497503.41,1802610,ND,501646.6
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,298778.2,169756.85,213857.23,304233.04,348627.98,483444.84,253807.97,12714420.47,1258098.08,5086610.86,26667130.73,1822277.89
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,890223.8,4341777.55,1641832.85,1363140.74,583733.54,291064.9,1644953.96,17262286.96,4165868.75,3030786.25,ND,6708228.38
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,182781.36,181647.62,229831.06,321871.67,387143.31,555917.73,196901.53,13975230.46,1176232.98,2605165.65,42624698.97,1627188.48
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,72776.41,85246.45,82412.64,103204.69,146388.74,212006.97,84289.61,5817514.26,497381.88,1727996.15,17444593.64,918962.17
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,209989012,25962992,ND,ND,189541676.44
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,84287.77,108295.86,125043.1,169513.04,246331.54,267408.1,107802.41,1689487.26,347535.04,1364160.45,805960.58,469809.09
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,77738.5,88710.42,91609.96,101326.19,103822.67,197366.73,84862.44,916863.59,312873.13,1035917.22,3125744.19,452616.83
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,91959.95,96217.75,95190.43,101133.95,96370.08,116322.28,96409.77,2354136.4,362045.25,610825.93,1022525.76,453764.04
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,81831.07,86863.98,90088.01,103019.02,120049.22,234341.09,91600.36,3398366.28,436530.03,2171412.35,108823892.25,733137.16
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,72304.96,84652.98,96233.16,95788.77,109903.31,146754.66,83220.96,1607096.42,284740.56,865156.01,15838824.16,456872.51
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,166879100,ND,166879100
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,10245346,ND,3192238.32,ND,3315977.05
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,13161300,ND,ND,ND,13161300
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,80934.96,95823.2,112134.38,170329.46,ND,ND,88015.12,4231715.95,497799.53,2153892.34,47027583.88,751237.89
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,93732.74,118771.78,134117.44,211765.17,281136.25,272993.04,117582.26,2950264.53,546716.94,1667922.62,1669249.48,711424.96
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,93111.63,95421.96,104477.43,132199.66,160153.47,214664.13,100168.51,7454560.61,333335.62,2186050.52,1696767.84,567047.91
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,105258.73,108905.96,110374.8,129274.08,147471.55,173449.33,113530.89,950088.56,425694.81,1642244.49,7261066.18,561299.17
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,75642.37,80705.66,80141.78,74465.38,83868.04,152718.32,79698.79,2526617.84,276960.64,767534.95,1947691.93,449618.16
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,92883.97,106190.56,118765.09,142808.81,291395.83,ND,105018.37,5977027.27,422949.55,1633976.52,4116996.4,665763.77
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,109780.96,139961.27,169794.94,ND,ND,ND,120840.03,798713,345563.88,1252286.31,8018334.22,458733.3
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,70416.43,88819.91,87388.54,ND,ND,ND,74989.47,174335.67,280518.78,1626722.48,3470970.99,427184.76
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,83507.52,91341.59,95019.11,99455.64,106210.76,148720.47,93025.27,1243385.61,398376.47,991367.17,2388392.56,520989.64
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,106865.56,127255.59,155356.38,195668.36,ND,ND,119029.7,2571975.36,378317.95,1998240.52,0,568365.18
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,88613.79,113475.46,145822.3,ND,ND,ND,91836.15,400113.51,522719.4,2357905.37,2169037.63,803928.51
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,13622.8,38961.89,141129.62,98183.42,ND,ND,54505.6,10777623.28,3166167.29,568182.48,ND,4272377.03
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,112218.15,108897.71,103441.97,104029.76,139175.1,245678.98,114259.57,6580470.92,793689.48,8979241.4,870508347.56,1345336.21
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,97566.05,106382.69,115329.38,131438.1,154785.91,222224.98,114616.68,7746367.49,717887.38,2932636.57,9081073.16,1430529.46
ENEL COLOMBIA S.A. E.S.P.,factura promedio,92941.66,104462.05,97992.26,100671.76,136739.08,191205.62,104208.98,2514434.03,550246.84,3399524.48,100963438.33,885927.5
Enel X Colombia S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,30357938.1,11456324.67,16819690.31,ND,15485137.66
ENERBIT S.A.S E.S.P.,factura promedio,40189.94,57815.77,82376.95,73642.12,214001.1,552201.6,125388.07,5420262.09,2310895,7659590.6,ND,2532887.62
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,70189.34,232783.81,205992.85,114981.97,137733.63,286310.03,155419.16,7504035.14,2217436.36,7327986.9,ND,3414079.53
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1077039733,ND,ND,ND,1077039733
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,17484735,ND,ND,ND,17484735,60083391.04,60600274.17,18242524,ND,58976546.23
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,233700724.3,ND,ND,ND,233700724.3
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,28242065,ND,ND,ND,ND,28242065,41376649.67,35974347.83,27921813,ND,36265575.36
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,371124323.11,308447943.67,ND,ND,363007957.42
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1831933931,20631296,ND,ND,926282613.5
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,193854,16862.71,547787.98,132529.5,458136.5,455515.46,7579725.23,2557830.33,22416730.77,41328147.33,3488178.55
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SOL & CIELO ENERGIA SAS ESP,factura promedio,4732388,1709598.86,827645.14,1000510.4,374329.64,834034.67,1114466.27,13223596.64,4591166.51,3085015.45,ND,4353196.74
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,24177721.16,4482477,ND,24077235.22
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,8633821.92,20301282.2,ND,ND,ND,12065427.88,17667964.36,11209351.52,21776836.56,ND,12085272.05
VATIA S.A.S. E.S.P.,factura promedio,481320.36,45749.24,57564,88672.57,86602.89,120687.36,85513.85,7243340.94,2868544.95,7760392.21,3636240.08,3430283.32
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Septiembre
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
