Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,49165.92,64173.53,73279.61,ND,ND,63868.71,ND,469248.32,1812696.5,ND,473513.24
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
AIR-E S.A.S. E.S.P.,factura promedio,230522.34,109582.57,157774.81,215559.52,244486.93,339434.26,185812.59,8936063.08,925966.63,3217029.71,20601049.23,1310425.26
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,952815,4537413.64,1771070.66,1193773.22,638570.85,340928.98,1715094.84,14721924.62,4281923.62,3306650.87,7097835,6243912.74
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,169489.95,165274.49,200103.12,277341.66,323517.75,456952.75,178942.72,16629116.82,955299.17,2242896.03,40292155.14,1454887.8
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,73433.26,85053.16,81752.96,101494.86,143362.63,197506.37,83993.23,6178553.98,515883.09,1491857.94,15592494.39,935712.61
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,374691593.12,24521652,ND,ND,335783821.89
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,103909.77,124859.43,147274.24,189223.88,262627.28,290273.66,126530.82,2514871.11,433495.8,1302100.25,1242039.76,582388.72
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,75573.64,86814.38,89265.5,96879.51,103851.28,200416,82640.43,692067.71,284005.72,936144.79,2125562.53,405076.19
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,92871.6,96999.62,96612.32,102128.95,97975.19,119206.34,97567.84,2272212.18,365663.38,548333.98,882748.83,451379.49
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,80483.49,82600.16,84265.03,98168.28,113520.89,256766.74,86712.19,3122872,410916.46,1918270.25,224616995.4,832027.56
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,69985.93,82803.76,91949.52,96949.91,113783.23,148879.3,81191.15,1603694.36,321366.99,726804.08,16893255.1,480012.18
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,151566938,ND,151566938
