Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,43858.86,53548.18,75991.62,ND,ND,58378.88,ND,492966.96,1787821.5,ND,497077.6
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,398366798.21,546234310,ND,ND,412449418.38
AIR-E S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,978326.2,4699871.93,1809006.32,1446875.79,683440.12,337517.29,1767400.85,18249238.02,4481583.96,3401134.08,ND,7245551.65
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,188674.29,187039.69,235485.88,330077.97,411887.17,569946.13,203037.88,14595595.52,1123481.42,2645793.66,44183307.84,1596581.72
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,83613.01,97467.83,94030.98,116137.31,171220.44,234204.77,96309.75,5408312.47,518029.47,1868331.87,17480128.09,918051.22
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,229019529.88,28173618,ND,ND,206703317.44
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,111748.3,146943.82,164387.56,225911.94,324327.6,374577.46,144145.47,2788328.21,485994.58,1660431.49,1417448.6,665537.37
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,75820.37,89265.01,91399.65,99870.85,106331.58,213284.62,84060.38,945232.91,309988.92,1072498.63,3820000.92,451812.69
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,91260.35,97029.38,96244.51,102439.73,92917.34,111072.18,96869.37,2382380.9,360865.47,599089.9,1103573.07,454408.7
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,231383906.8,20552959.5,381956156,ND,162108752.8
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,87529.21,97224.32,97940.9,112045.42,127999.48,307442.02,100708.74,3496380.97,504374.17,2057560.04,109893943.5,806447.85
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,75290.64,86918.4,96740.25,96963.48,89875.87,149306.81,84942.32,1415776.85,313334.49,902332.52,14496030.21,469238.83
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,163478993,ND,163478993
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,17164652,ND,3167182.79,ND,3412752.42
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,81647.59,96962.74,108370.82,160419.62,ND,ND,88374.12,4437491.6,493393.38,2072096.43,47542173,745800.96
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,98820.11,124626.98,140529.37,218500.09,293068.11,300177.94,123331.37,3616487.41,563541.59,1583945.69,1568051.8,727540.22
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,90711.23,92712.98,101907.63,127888.44,147140.89,199334.23,97361.96,6827860.07,322074.59,1925362.93,1394398.44,530623.22
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,101464.18,106249.84,107210.87,126738.29,147120.27,172014.99,110563.46,958749.99,419075.8,1625726.86,7868772.87,557328.13
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,76186.44,80829.16,80565.89,75818.58,86904.86,182240.55,80066.73,2554780.02,277534.19,798700.48,2296922.22,463340.62
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,89137.91,100103.52,110774.77,129275.14,258487.42,ND,99149.71,4325264.48,402708.85,1400278.01,4232439.36,613286.32
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,108176.34,136714.49,163397.25,ND,ND,ND,118600.5,1654590.21,360689.45,1212629.26,8567809.81,481880.22
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,72019.15,90609.6,88469.67,ND,ND,ND,76620.46,179825.15,295433.04,1536377.27,3507282.34,435198.1
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,87805.99,96265.35,101301.3,112080.35,118067.98,159540.17,99456.34,1274971.85,423203.07,1080151.72,2723609.95,557072.25
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,100830.81,118099.82,135917.17,146953.82,ND,ND,110665.54,2800329.68,340194.44,1913191.4,0,528736.3
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,88654.59,114741.49,151285.37,ND,ND,ND,92112.74,363082.38,535639.45,2402813.12,2166761.77,816906.9
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,13361.04,37362.5,114512.31,84978.08,ND,ND,49229.34,11233774,2950145.97,243160.65,ND,4177519.18
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,114697.87,108970.84,105725.15,105200.03,140609.18,249634.66,115795.5,6394986.85,830960.21,8193173.87,845709261.67,1351012.66
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,96441.66,105664.12,113072.72,127463,148506.54,217235.17,112696.47,8247207.82,707083.48,2877414.02,9277266.5,1462009.49
ENEL COLOMBIA S.A. E.S.P.,factura promedio,94034.85,102454.12,96291.86,104183.47,132929.67,181750.17,103060.05,2268914.06,526094.92,3170185.81,97950422.35,830370.92
Enel X Colombia S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,34065282.86,11690989.85,18454225.15,ND,16454850.52
ENERBIT S.A.S E.S.P.,factura promedio,40418.51,52965.51,77524.57,76609.33,206994.26,496292.06,123532.96,5323020.88,2066822.18,46468713,ND,2320692.11
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,70191.9,232774.52,206124.37,114555.85,135575.47,286300.07,154958.27,7102268.44,1965026.7,7356273.57,ND,3140512.03
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1046545023,ND,ND,ND,1046545023
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,58777222.36,64865200.5,21395099,ND,58752815.09
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,251222588.3,ND,ND,ND,251222588.3
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,216900743.99,305090126.39,ND,ND,228320951.78
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,237534215.64,121268920.67,596808337,ND,238232764.73
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1734795445,23471159,ND,ND,879133302
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
